username,week,total_engagement,text_length,retweet_count,reply_count,like_count,quote_count,tweet_count,rolling_engagement,rolling_tweet_count,engagement_per_text_length,tweet_count_delta,degree_centrality,pagerank,betweenness_centrality,closeness_centrality,eigenvector_centrality,followers_count,friends_count,statuses_count,community,log_followers,engagement_per_follower
Jynxzi,2024-12-16/2024-12-22,4173.5,198.5,59.5,75.0,4029.0,10.0,2,,,21.025188916876573,0.0,,,,,,,,,-1,,
Jynxzi,2024-12-23/2024-12-29,78958.0,22.0,364.0,904.0,77663.0,27.0,1,4173.5,2.0,3589.0,-1.0,,,,,,,,,-1,,
Jynxzi,2025-01-06/2025-01-12,309.0,98.0,309.0,0.0,0.0,0.0,1,41565.75,1.5,3.1530612244897958,0.0,,,,,,,,,-1,,
Jynxzi,2025-02-03/2025-02-09,249.0,67.0,2.0,14.0,232.0,1.0,1,27813.5,1.3333333333333333,3.716417910447761,0.0,,,,,,,,,-1,,
Jynxzi,2025-02-17/2025-02-23,5877.5,178.0,1136.0,83.0,4651.5,7.0,2,26505.333333333332,1.0,33.01966292134831,1.0,,,,,,,,,-1,,
Jynxzi,2025-02-24/2025-03-02,368.0,71.0,368.0,0.0,0.0,0.0,1,2145.1666666666665,1.3333333333333333,5.183098591549296,-1.0,,,,,,,,,-1,,
Jynxzi,2025-03-03/2025-03-09,37899.0,39.0,552.0,145.0,37197.0,5.0,1,2164.8333333333335,1.3333333333333333,971.7692307692307,0.0,,,,,,,,,-1,,
Jynxzi,2025-04-21/2025-04-27,19140.0,31.0,601.0,151.0,18312.0,76.0,1,14714.833333333334,1.3333333333333333,617.4193548387096,0.0,,,,,,,,,-1,,
Jynxzi,2025-04-28/2025-05-04,9263.0,34.0,268.0,105.0,8832.0,58.0,1,19135.666666666668,1.0,272.44117647058823,0.0,,,,,,,,,-1,,
Jynxzi,2025-05-12/2025-05-18,86.0,87.0,86.0,0.0,0.0,0.0,1,22100.666666666668,1.0,0.9885057471264368,0.0,,,,,,,,,-1,,
Jynxzi,2025-05-19/2025-05-25,1773.3333333333333,81.0,57.0,52.0,1662.6666666666667,1.6666666666666667,3,9496.333333333334,1.0,21.893004115226336,2.0,,,,,,,,,-1,,
